producto,precio,tamaño,sizes_format
Gel energético con cafeína Enervit Sport sabor cítricos,3.60,0.096,kg
Bebida energética Mango Loco Monster,6.68,2.0,l
Bebida energética Mango Loco Monster,1.79,0.5,l
Bebida energética Furious Energy drink,1.00,0.5,l
Bebida energética Tropic Energy drink,1.00,0.5,l
Malta Maltín Polar,7.00,1.5,l
Malta Maltín Polar,1.25,0.25,l
Bebida energética zero Watermelon Energy drink,1.00,0.5,l
Bebida energética Zero Furious Energy drink,1.00,0.5,l
Refresco Coca-Cola,3.70,4.0,l
Refresco Coca-Cola,1.99,2.0,l
Refresco Coca-Cola,1.49,1.25,l
Refresco Coca-Cola,5.00,2.0,l
Refresco Coca-Cola,1.45,0.5,l
Refresco Coca-Cola,10.44,3.96,l
Refresco Coca-Cola,0.89,0.33,l
Refresco cola Hacendado,0.80,2.0,l
Refresco cola Hacendado,2.04,1.98,l
Refresco cola Hacendado,0.34,0.33,l
Refresco Coca-Cola Zero azúcar,10.44,3.96,l
Refresco Coca-Cola Zero azúcar,0.89,0.33,l
Refresco Coca-Cola Zero azúcar,3.70,4.0,l
Refresco Coca-Cola Zero azúcar,1.99,2.0,l
Refresco Coca-Cola Zero azúcar,1.49,1.25,l
Refresco Coca-Cola Zero azúcar,5.00,2.0,l
Refresco Coca-Cola Zero azúcar,1.45,0.5,l
Refresco Coca-Cola light,7.83,2.97,l
Refresco Coca-Cola light,0.89,0.33,l
Refresco Coca-Cola Zero Zero,10.44,3.96,l
Refresco Coca-Cola Zero Zero,0.89,0.33,l
Refresco Coca-Cola Zero Zero,3.70,4.0,l
Refresco Coca-Cola Zero Zero,1.99,2.0,l
Refresco cola Hacendado Zero azúcar,0.70,2.0,l
Refresco cola Hacendado Zero azúcar,1.92,1.98,l
Refresco cola Hacendado Zero azúcar,0.32,0.33,l
Refresco cola Hacendado Zero azúcar Zero cafeína,0.70,2.0,l
Refresco cola Hacendado Zero azúcar Zero cafeína,1.92,1.98,l
Refresco cola Hacendado Zero azúcar Zero cafeína,0.32,0.33,l
Refresco Coca-Cola Zero Zero,10.44,3.96,l
Refresco Coca-Cola Zero Zero,0.89,0.33,l
Refresco Coca-Cola Zero Zero,3.70,4.0,l
Refresco Coca-Cola Zero Zero,1.99,2.0,l
Refresco cola Hacendado Zero azúcar Zero cafeína,0.70,2.0,l
Refresco cola Hacendado Zero azúcar Zero cafeína,1.92,1.98,l
Refresco cola Hacendado Zero azúcar Zero cafeína,0.32,0.33,l
Refresco Fanta limón,1.55,2.0,l
Refresco Fanta limón,5.76,2.97,l
Refresco Fanta limón,0.66,0.33,l
Refresco Fanta limón zero azúcares añadidos,5.12,2.64,l
Refresco Fanta limón zero azúcares añadidos,0.66,0.33,l
Refresco de limón Hacendado fresh gas,0.92,2.0,l
Refresco de limón Hacendado fresh gas,2.10,1.98,l
Refresco de limón Hacendado fresh gas,0.35,0.33,l
Refresco de limón Hacendado zero azúcar fresh gas,0.92,2.0,l
Refresco de limón Hacendado zero azúcar fresh gas,2.10,1.98,l
Refresco de limón Hacendado zero azúcar fresh gas,0.35,0.33,l
Refresco limón Schweppes original,7.52,2.64,l
Refresco limón Schweppes original,0.95,0.33,l
Refresco lima limón Sprite,1.59,2.0,l
Refresco lima limón Sprite,4.56,2.64,l
Refresco lima limón Sprite,0.59,0.33,l
Refresco lima limón Hacendado fresh gas,0.92,2.0,l
Refresco lima limón Hacendado fresh gas,2.10,1.98,l
Refresco lima limón Hacendado fresh gas,0.35,0.33,l
Refresco lima limón Hacendado zero azúcar fresh gas,0.92,2.0,l
Refresco Fanta naranja,3.50,4.0,l
Refresco Fanta naranja,1.79,2.0,l
Refresco Fanta naranja,5.76,2.97,l
Refresco Fanta naranja,0.66,0.33,l
Refresco Fanta naranja zero azúcares añadidos,1.55,2.0,l
Refresco Fanta naranja zero azúcares añadidos,5.12,2.64,l
Refresco Fanta naranja zero azúcares añadidos,0.66,0.33,l
Refresco de naranja Hacendado fresh gas,0.92,2.0,l
Refresco de naranja Hacendado fresh gas,2.10,1.98,l
Refresco de naranja Hacendado fresh gas,0.35,0.33,l
Refresco de naranja Hacendado zero fresh gas,0.92,2.0,l
Refresco de naranja Hacendado zero fresh gas,2.10,1.98,l
Refresco de naranja Hacendado zero fresh gas,0.35,0.33,l
Tónica original Schweppes,7.52,2.64,l
Tónica original Schweppes,0.95,0.33,l
Tónica original Schweppes,1.90,1.0,l
Tónica original Schweppes,6.30,1.2,l
Tónica original Schweppes,1.06,0.2,l
Tónica Hacendado,2.22,1.98,l
Tónica Hacendado,0.37,0.33,l
Tónica zero calorías Schweppes,7.52,2.64,l
Tónica zero calorías Schweppes,0.95,0.33,l
Tónica Nordic Mist,4.40,2.0,l
Tónica Nordic Mist,0.65,0.25,l
Tónica pink zero Schweppes,7.52,2.64,l
Tónica pink zero Schweppes,0.95,0.33,l
Bitter Kas sin alcohol,0.99,0.33,l
Refresco té al limón Nestea,7.68,2.64,l
Refresco té al limón Nestea,0.99,0.33,l
Refresco té al limón Nestea,1.99,1.5,l
Refresco té verde Hacendado,0.90,1.5,l
Refresco té sabor limón Hacendado,0.90,1.5,l
Refresco té sabor melocotón Hacendado zero,0.90,1.5,l
Refresco té sabor melocotón Hacendado,0.90,1.5,l
Refresco té sabor limón Hacendado para diluir,1.50,0.036,kg
Refresco té sabor melocotón Hacendado para diluir,1.50,0.036,kg
Refresco té sabor mango Hacendado zero,0.90,1.5,l
Refresco té sabor limón Hacendado,3.00,1.98,l
Refresco té sabor limón Hacendado,0.50,0.33,l
Refresco té sabor limón Hacendado zero,0.90,1.5,l
Limonada Don Simón light sin gas,1.50,2.0,l
Refresco de naranja Simon Life sin gas,1.85,1.5,l
Refresco de naranja Gold Spring sin gas,1.40,2.0,l
Refresco de naranja Gold Spring sin gas,1.50,1.32,l
Refresco fusión de frutas Gold Spring cero sin gas,1.40,2.0,l
Bebida Florida Sunny Delight,1.95,1.25,l
Refresco piña-coco Gold Spring cero sin gas,1.40,2.0,l
Agua de coco Chaokoh 100% natural,2.60,1.0,l
Refresco Tropical Gold Spring sin gas,1.10,1.5,l
Limonada Hacendado light sin gas,1.50,1.32,l
Limonada sabor frambuesa Hacendado sin gas,1.10,1.5,l
Aceitunas manzanilla rellenas de anchoa Hacendado,2.91,1.05,kg
Aceitunas manzanilla rellenas de anchoa Hacendado,1.60,0.36,kg
Aceitunas manzanilla rellenas de anchoa Hacendado,0.97,0.35,kg
Aceitunas manzanilla Hacendado sin hueso,2.60,0.835,kg
Aceitunas rellenas de anchoa Hacendado reducido en sal,1.40,0.35,kg
Aceitunas manzanilla rellenas de anchoa Hacendado reducidas en sal,1.80,0.36,kg
Aceitunas chupadedos Huerta de Barros partidas aliñadas con hueso,3.20,0.98,kg
Aceitunas gazpacha Hacendado con hueso,2.50,0.835,kg
Aceitunas rellenas de anchoa Hacendado,1.55,0.35,kg
Aceitunas rellenas de anchoa Hacendado,3.95,1.46,kg
Aceitunas manzanilla Hacendado sin hueso,1.65,0.525,kg
Aceitunas estilo caseras Hacendado aliñadas,2.75,0.935,kg
Aceitunas manzanilla Hacendado con hueso,2.60,0.835,kg
Aceitunas manzanilla aliñadas Hacendado sin hueso,1.85,0.42,kg
Aceitunas rellenas de jalapeño Hacendado,1.65,0.35,kg
Aceitunas rellenas de pimiento asado Hacendado,1.65,0.35,kg
Aceitunas manzanilla sabor anchoa Hacendado con hueso,2.75,0.935,kg
Aceitunas manzanilla sabor anchoa Hacendado con hueso,1.50,0.43,kg
Aceitunas Olives Garcia partida con hueso,3.90,0.815,kg
Aceitunas verdes rellenas de boquerón Hacendado en vinagre,1.75,0.35,kg
Aceitunas picadedos Hacendado aliñadas sin hueso,3.25,0.71,kg
Aceitunas rellenas de anchoa La Alcoyana,2.95,0.83,kg
Aceitunas negras Hacendado sin hueso,1.05,0.35,kg
Aceitunas negras Hacendado sin hueso,3.15,0.35,kg
Aceitunas negras naturales de Aragón Campo Nature,2.50,0.2,kg
Aceitunas negras Hacendado a rodajas,2.15,0.36,kg
Aceitunas negras Hacendado sin hueso,1.90,0.33,kg
Banderillas picantes Hacendado,1.60,0.345,kg
Banderillas dulces Hacendado en vinagre,1.60,0.345,kg
Mix de encurtidos Hacendado,2.60,0.67,kg
Surtido de aceitunas y encurtidos Olispania,3.50,1.485,kg
Pepinillos pequeños Hacendado,1.50,0.42,kg
Altramuces Hacendado,1.75,0.69,kg
Alcaparras Hacendado en vinagre,1.30,0.135,kg
Pepinillos en vinagre Hacendado,1.95,0.67,kg
Cebolla roja Olives García en vinagre,3.15,0.72,kg
Picadillo de variantes Hacendado,1.90,0.42,kg
Pepinillos laminados agridulces Hacendado,1.90,0.53,kg
Cebollitas Hacendado,1.60,0.35,kg
Guindillas picantes Mis Delicias,1.35,0.29,kg
Ajos aliñados Hacendado,2.60,0.345,kg
Alcaparrones Hacendado en vinagre,2.95,0.36,kg
Berenjenas de Almagro Antonio aliño suave,2.89,0.8,kg
Jalapeños picantes Hacendado en vinagre,1.65,0.135,kg
Mix de pepinillos y cebollitas Hacendado,1.90,0.67,kg
Piparra Hacendado,2.80,0.29,kg
Pepinillos agridulces Hacendado,1.65,0.425,kg
Pepinillos agridulces Melis,1.50,0.67,kg
Nuez natural Hacendado pelada,2.30,0.2,kg
Almendra natural Hacendado,2.05,0.2,kg
Pistacho tostado Hacendado con sal,3.35,0.25,kg
Pipas girasol tostadas Hacendado gigante con sal,1.20,0.2,kg
Pistacho tostado Hacendado 0% sal añadida,3.35,0.25,kg
Cacahuete frito con sal Hacendado pelado,1.00,0.25,kg
Pipas girasol tostadas Hacendado gigante aguasal,1.20,0.2,kg
Anacardo natural Hacendado,2.30,0.2,kg
Palomitas de maíz con sal Hacendado para microondas,1.10,0.27,kg
Anacardo frito salado Hacendado,2.40,0.2,kg
Avellana tostada Hacendado 0% sal añadida,3.00,0.2,kg
Almendra tostada y salada Hacendado con piel,2.80,0.2,kg
Cacahuete frito y salado Hacendado con piel,1.30,0.25,kg
Maíz frito crujiente y tierno Hacendado,1.00,0.17,kg
Almendra frita y salada Hacendado pelada,2.55,0.2,kg
Cacahuete tostado Hacendado 0% sal añadida,1.55,0.4,kg
Almendra tostada Hacendado 0% sal añadida con piel,2.80,0.2,kg
Maíz palomitas Hacendado,0.82,0.25,kg
Maíz frito gigante Hacendado,1.40,0.15,kg
Nuez macadamia Hacendado tostada con sal,2.70,0.1,kg
Mezcla semillas Hacendado,1.40,0.2,kg
Pipas de calabaza natural Hacendado peladas,1.63,0.15,kg
Castañas cocidas y peladas Hacendado,1.40,0.1,kg
Cacahuete frito con miel Hacendado,1.65,0.2,kg
Cacahuete tostado con sal Hacendado,1.55,0.4,kg
Semillas de chía Hacendado,1.30,0.15,kg
Pipas de girasol fritas Hacendado peladas,1.10,0.2,kg
Almendra marcona Hacendado frita con sal,2.85,0.125,kg
Palomitas de maíz sabor mantequilla Hacendado para microondas,1.35,0.27,kg
Almendra natural Hacendado sin piel,2.35,0.2,kg
Avellana natural Hacendado,2.80,0.2,kg
Semillas sésamo tostado Hacendado,1.50,0.15,kg
Pipas girasol barbacoa Hacendado,1.35,0.2,kg
Pipas girasol naturales Hacendado peladas,1.20,0.2,kg
Semillas lino dorado Hacendado,1.15,0.15,kg
Nuez natural Hacendado,3.50,0.6,kg
Pipas calabaza tostadas Hacendado aguasal,1.55,0.125,kg
Pipas girasol tostadas Hacendado 0% sal añadida,1.50,0.2,kg
